Doctor_ID,First_Name,Middle_Name,Last_Name,Gender,Age,Specialty,Experience_Years,Contact_Email,Contact_Phone,Hospital,Location,Phone_Number,Address
D00028,Robert,Jeremy,Bradley,F,39,Plastic Surgeon,23,robert.bradley@example.com,4345050082,SSM Health Hospital,"Saint Louis, Missouri, United States",3145166506,"8888 Willow Way, Chesterfield, MO 63005"
D00029,Brent,Rebecca,Wright,F,37,General Surgeon,23,brent.wright@example.com,5140973426,SSM Health Hospital,"Saint Louis, Missouri, United States",3141429103,"5678 Elm St, Kansas City, MO 64106"
D00030,Daniel,Stacie,Davis,F,51,Vascular Surgeon,32,daniel.davis@example.com,1134295024,SSM Health Hospital,"Saint Louis, Missouri, United States",3145131202,"2222 Oak St, Columbia, MO 65201"
D00031,Alexander,Ethan,Butler,M,58,Vascular Surgeon,23,alexander.butler@example.com,1884555757,SSM Health Hospital,"Saint Louis, Missouri, United States",3146628787,"7777 Cherry Blvd, Joplin, MO 64801"
D00032,Raven,Sara,Dunn,F,60,General Surgeon,33,raven.dunn@example.com,2051868871,SSM Health Hospital,"Saint Louis, Missouri, United States",3146987458,"5678 Elm St, Kansas City, MO 64106"
D00033,Jeffery,Tanya,Donaldson,M,43,Critical Care Specialist,13,jeffery.donaldson@example.com,8411568344,SSM Health Hospital,"Saint Louis, Missouri, United States",3142280107,"7777 Cherry Blvd, Joplin, MO 64801"
D00034,Jon,Andre,White,M,56,Orthopedic Surgeon,11,jon.white@example.com,9569288141,SSM Health Hospital,"Saint Louis, Missouri, United States",3145056737,"1234 Main St, St. Louis, MO 63101"
D00035,Erin,Mindy,Thompson,M,57,Plastic Surgeon,9,erin.thompson@example.com,9025306343,SSM Health Hospital,"Saint Louis, Missouri, United States",3142090068,"4444 Cedar Dr, Lee's Summit, MO 64063"
D00036,Matthew,Edward,Silva,F,38,Neurosurgeon,21,matthew.silva@example.com,5260085793,SSM Health Hospital,"Saint Louis, Missouri, United States",3141544628,"1234 Main St, St. Louis, MO 63101"
D00037,Lisa,Gabrielle,Dougherty,M,39,Cardiothoracic Surgeon,39,lisa.dougherty@example.com,4236848206,SSM Health Hospital,"Saint Louis, Missouri, United States",3143959998,"1234 Main St, St. Louis, MO 63101"
D00038,Eric,John,Morris,F,54,Ophthalmologist,23,eric.morris@example.com,0223880629,SSM Health Hospital,"Saint Louis, Missouri, United States",3146052342,"5555 Birch Ln, St. Charles, MO 63301"
D00039,Desiree,Julie,Little,F,61,Cardiothoracic Surgeon,37,desiree.little@example.com,7358658334,SSM Health Hospital,"Saint Louis, Missouri, United States",3141220083,"3333 Pine St, Independence, MO 64050"
D00040,Teresa,Dylan,Davis,M,38,Plastic Surgeon,18,teresa.davis@example.com,4295054503,SSM Health Hospital,"Saint Louis, Missouri, United States",3147409709,"5555 Birch Ln, St. Charles, MO 63301"
D00041,Felicia,Alan,Harris,M,58,General Surgeon,38,felicia.harris@example.com,1537032844,SSM Health Hospital,"Saint Louis, Missouri, United States",3140276856,"5555 Birch Ln, St. Charles, MO 63301"
D00042,Alejandro,Brian,Pennington,M,58,Vascular Surgeon,38,alejandro.pennington@example.com,3547495480,SSM Health Hospital,"Saint Louis, Missouri, United States",3145791849,"6666 Walnut St, Florissant, MO 63031"
D00043,Seth,Lindsay,Nelson,F,58,Plastic Surgeon,7,seth.nelson@example.com,3681952751,SSM Health Hospital,"Saint Louis, Missouri, United States",3148477493,"7777 Cherry Blvd, Joplin, MO 64801"
D00044,Theresa,Daniel,Noble,M,57,Plastic Surgeon,16,theresa.noble@example.com,8928334494,SSM Health Hospital,"Saint Louis, Missouri, United States",3141865993,"9101 Maple Ave, Springfield, MO 65807"
D00045,Chris,Diana,Phillips,M,49,Orthopedic Surgeon,38,chris.phillips@example.com,7806374489,SSM Health Hospital,"Saint Louis, Missouri, United States",3149528637,"5678 Elm St, Kansas City, MO 64106"
D00046,Mark,Luke,Berry,M,49,Anesthesiologist,24,mark.berry@example.com,1278491082,SSM Health Hospital,"Saint Louis, Missouri, United States",3146600162,"8888 Willow Way, Chesterfield, MO 63005"
D00047,Chelsea,John,Huff,M,61,Cardiothoracic Surgeon,27,chelsea.huff@example.com,6751910610,SSM Health Hospital,"Saint Louis, Missouri, United States",3145062691,"2222 Oak St, Columbia, MO 65201"
D00048,Brooke,Daniel,Grant,M,41,Ophthalmologist,29,brooke.grant@example.com,0356762152,SSM Health Hospital,"Saint Louis, Missouri, United States",3144880443,"7777 Cherry Blvd, Joplin, MO 64801"
D00049,Tracey,Frederick,Stone,M,42,ENT Surgeon,13,tracey.stone@example.com,7017951375,SSM Health Hospital,"Saint Louis, Missouri, United States",3140511842,"4444 Cedar Dr, Lee's Summit, MO 64063"
D00050,Mary,Holly,Graham,M,43,Neurosurgeon,10,mary.graham@example.com,9575489863,SSM Health Hospital,"Saint Louis, Missouri, United States",3149119847,"8888 Willow Way, Chesterfield, MO 63005"
