,Patient_ID,PREFIX,FIRST,MIDDLE,LAST,GENDER,BIRTHDATE,AGE,MARITAL,STATE,FIPS,PHONE_NO,DRIVERS,SUFFIX,COUNTY,RACE,CITY,LON,ADDRESS,LAT,DEATHDATE,HEALTHCARE_EXPENSES,MAIDEN,INCOME,ZIP,BIRTHPLACE,SSN,PASSPORT,ETHNICITY,HEALTHCARE_COVERAGE
11,P00012,Mr.,Maureen,Jeanette,Gibson,M,1929-06-29,95,Widowed,MO,29739,3143327507,D1134283,Jr.,St. Charles,Black,Springfield,-93.797296,148 Main St,36.639769,,5914,,115554,63101,Missouri,705-62-5905,P746542239,Hispanic or Latino,8413
12,P00013,Miss,Dylan,Joseph,Davis,F,2024-03-25,10,Widowed,MO,29316,3145980172,D9832379,,Jackson,Black,Columbia,-90.737717,1577 Main St,37.058038,,16725,Davis,90368,64106,Missouri,573-76-2998,P976025035,Hispanic or Latino,11459
13,P00014,Mr.,Joseph,Martha,Norman,M,1947-09-06,77,Single,MO,29130,3141365853,D2275081,,Greene,White,Kansas City,-94.098133,9095 Main St,39.145088,,14770,,63150,65201,Missouri,807-65-9646,P114525180,Hispanic or Latino,9672
14,P00015,Mr.,Richard,Brett,Robinson,M,1996-03-17,28,Widowed,MO,29298,3149917274,D7351804,,Jackson,Hispanic,Kansas City,-91.809325,8938 Main St,39.493275,,13410,,63347,64050,Missouri,546-24-2513,P310632740,Hispanic or Latino,4667
15,P00016,Mr.,Michelle,Casey,Vargas,M,1971-10-04,53,Married,MO,29787,3140650515,D5163873,Jr.,Jackson,Black,Independence,-94.468648,1740 Main St,39.208389,,9298,,95826,65201,Missouri,122-76-2078,P547300736,Hispanic or Latino,2066
16,P00017,Mrs.,Melissa,Cody,Martinez,F,1973-05-19,51,Single,MO,29913,3147944866,D4750541,,Greene,Black,Springfield,-92.729845,4696 Main St,36.898833,,12150,Martinez,111412,63101,Missouri,972-52-3374,P870655512,Hispanic or Latino,14993
17,P00018,Master,Angela,Brittany,Berg,M,2017-12-20,10,Single,MO,29739,3144560840,D3186496,,Greene,White,Independence,-92.16371,8091 Main St,39.967972,,2353,,113103,63101,Missouri,332-69-6414,P831969589,Not Hispanic or Latino,12699
18,P00019,Master,Ann,Jason,Drake,M,2022-12-20,10,Single,MO,29453,3147162945,D7625233,,Greene,Hispanic,Independence,-90.738968,8451 Main St,37.135792,,13325,,72207,64050,Missouri,558-76-7246,P917801435,Not Hispanic or Latino,6840
19,P00020,Mrs.,Gloria,Jessica,Phillips,F,1951-09-12,73,Married,MO,29347,3148803291,D7895359,,Jackson,Other,Columbia,-91.407814,3682 Main St,39.506691,,11366,Phillips,86412,64050,Missouri,944-47-1402,P846843254,Not Hispanic or Latino,3835
20,P00021,Mrs.,Edwin,Perry,Roberts,F,1964-03-19,60,Married,MO,29136,3148460004,D5490378,,Greene,Hispanic,Springfield,-91.558003,2263 Main St,36.925529,,15943,Roberts,47151,65201,Missouri,351-18-6560,P482379878,Hispanic or Latino,4007
21,P00022,Master,Caleb,Crystal,Riley,M,2007-05-04,17,Widowed,MO,29555,3145153067,D5577628,III,St. Charles,White,Columbia,-92.308621,9223 Main St,36.089887,,6998,,31413,63101,Missouri,347-65-8853,P196343571,Hispanic or Latino,9456
22,P00023,Mrs.,Donald,Marissa,Gates,F,1994-06-30,30,Single,MO,29423,3144671872,D5774403,,Greene,Hispanic,St. Louis,-93.970724,8892 Main St,38.332238,,15919,Gates,100634,64106,Missouri,330-99-1445,P810909059,Not Hispanic or Latino,8148
23,P00024,Mr.,Curtis,Emily,Mclaughlin,M,1977-11-10,47,Widowed,MO,29157,3146192122,D6455916,,St. Charles,Asian,St. Louis,-92.88015,5898 Main St,36.85524,,2707,,48940,65807,Missouri,601-34-4881,P420928331,Hispanic or Latino,1410
24,P00025,Mrs.,Rhonda,Blake,Phillips,F,1977-11-05,47,Widowed,MO,29857,3144584031,D2588359,III,St. Charles,Hispanic,St. Louis,-91.71574,8129 Main St,39.103995,,8198,Phillips,48119,64050,Missouri,566-14-5020,P170697163,Not Hispanic or Latino,13756
25,P00026,Master,Sean,Amy,Mathews,M,2011-05-24,13,Married,MO,29438,3149784419,D4184573,III,Greene,Hispanic,Columbia,-92.531033,1115 Main St,38.891815,,2271,,31786,64050,Missouri,948-36-6243,P762174796,Hispanic or Latino,4685
26,P00027,Mrs.,Jacqueline,Roy,King,F,1968-02-15,57,Single,MO,29369,3144162453,D1036138,Sr.,St. Louis,Other,Independence,-91.721058,7687 Main St,38.198178,,6736,King,52005,64050,Missouri,964-32-4750,P427505310,Hispanic or Latino,10923
27,P00028,Mrs.,David,Caroline,Campos,F,1957-09-22,67,Widowed,MO,29412,3147918836,D8785282,,Boone,Hispanic,Kansas City,-90.83269,5747 Main St,37.445624,,7927,Campos,99318,64050,Missouri,559-28-7888,P274859332,Not Hispanic or Latino,5722
28,P00029,Mrs.,Shelley,Jessica,Nelson,F,1985-04-04,39,Divorced,MO,29739,3141015005,D7754980,Sr.,Greene,Other,Springfield,-93.809467,4970 Main St,36.70295,,9863,Nelson,66026,64106,Missouri,510-58-5350,P714219334,Hispanic or Latino,10471
29,P00030,Mrs.,Douglas,Sarah,Rodgers,F,1962-12-25,62,Divorced,MO,29994,3146759813,D1233647,,Boone,Other,Independence,-90.138031,6649 Main St,37.74207,,4941,Rodgers,44624,64050,Missouri,996-94-7744,P234873267,Not Hispanic or Latino,7992
30,P00031,Mr.,Andrew,Cheryl,Sutton,M,2001-05-17,23,Divorced,MO,29583,3149033509,D4359468,Jr.,Jackson,Black,St. Louis,-92.265918,3698 Main St,36.63496,,13415,,23975,64106,Missouri,941-51-9938,P461068984,Not Hispanic or Latino,13517
31,P00032,Mr.,Rachel,Kristen,Brown,M,1953-01-10,72,Divorced,MO,29670,3149725975,D3678388,Sr.,St. Charles,Black,St. Louis,-91.928203,5922 Main St,38.068248,,17207,,75262,65201,Missouri,513-69-4824,P174060809,Not Hispanic or Latino,8900
32,P00033,Mr.,George,Kimberly,Hicks,M,1991-05-28,33,Widowed,MO,29323,3145234870,D2873968,III,St. Louis,Black,Independence,-90.41105,2303 Main St,36.628565,,11179,,57211,64050,Missouri,808-43-2913,P822098416,Hispanic or Latino,1081
33,P00034,Mrs.,Bradley,Theresa,Page,F,1929-10-17,95,Married,MO,29554,3147971543,D5351898,Jr.,St. Louis,Other,Independence,-92.244947,3268 Main St,36.209117,,4778,Page,66950,65807,Missouri,548-61-1754,P478922169,Hispanic or Latino,12850
34,P00035,Mrs.,Jennifer,Dean,Ellis,F,1966-04-07,58,Single,MO,29402,3146555383,D8738459,,Jackson,Asian,St. Louis,-93.557551,1110 Main St,36.857073,,10303,Ellis,68762,65807,Missouri,105-10-3742,P445848299,Hispanic or Latino,12225
35,P00036,Mr.,Nancy,Julie,White,M,1958-09-29,66,Widowed,MO,29046,3143835596,D9242778,,Jackson,Other,Columbia,-92.514943,6198 Main St,39.791106,,4713,,27445,65807,Missouri,135-72-9429,P583972746,Not Hispanic or Latino,14181
36,P00037,Mrs.,Barbara,Sherry,Whitaker,F,1955-08-10,69,Widowed,MO,29900,3147340045,D9062671,III,Jackson,Other,Kansas City,-91.224498,2385 Main St,39.057428,,14795,Whitaker,27044,64050,Missouri,440-42-9898,P629983574,Hispanic or Latino,7484
37,P00038,Mr.,Scott,Scott,Tate,M,1991-08-06,33,Divorced,MO,29574,3143746140,D8533795,,Greene,Black,Columbia,-93.963579,8071 Main St,38.891796,,18047,,77621,65807,Missouri,621-29-2631,P163614636,Hispanic or Latino,14678
38,P00039,Mrs.,Anna,Amanda,Thompson,F,1990-02-02,35,Divorced,MO,29827,3141263482,D6309913,,St. Louis,Asian,Kansas City,-94.145325,5685 Main St,38.885685,,2810,Thompson,35972,63101,Missouri,982-99-9304,P688436957,Not Hispanic or Latino,12795
39,P00040,Mrs.,Andre,Lori,Burns,F,2005-07-22,19,Divorced,MO,29395,3149092214,D3620029,,Boone,Other,Kansas City,-90.564772,9744 Main St,38.055814,,3712,Burns,92283,65201,Missouri,470-13-8644,P234776465,Hispanic or Latino,11829
40,P00041,Mrs.,Anna,Anthony,Castro,F,1998-10-16,26,Single,MO,29664,3145844387,D1419776,,St. Charles,Hispanic,Kansas City,-92.289671,8456 Main St,38.506327,,6985,Castro,70512,63101,Missouri,782-45-5929,P637080560,Hispanic or Latino,3822
41,P00042,Master,Angela,Megan,Bradford,M,2024-08-03,10,Divorced,MO,29243,3144197296,D6550781,,St. Louis,Other,Springfield,-94.209035,6315 Main St,38.457,,4861,,50684,65201,Missouri,209-82-1394,P399039617,Not Hispanic or Latino,8721
42,P00043,Mr.,Jose,Jonathan,Jackson,M,1962-01-07,63,Divorced,MO,29269,3141089213,D4897728,,St. Charles,Black,Columbia,-91.421679,209 Main St,38.520971,,5973,,57787,64050,Missouri,289-93-7073,P805189328,Not Hispanic or Latino,12873
43,P00044,Mrs.,Jacob,Tammy,Ellis,F,1967-08-11,57,Divorced,MO,29907,3146893921,D5492403,,Boone,Other,Springfield,-94.089679,7549 Main St,37.677071,,9984,Ellis,103690,63101,Missouri,386-10-2014,P972386000,Hispanic or Latino,3541
44,P00045,Miss,Steven,Michelle,Munoz,F,2020-11-04,10,Married,MO,29504,3144551449,D9756580,III,Boone,Hispanic,Independence,-93.284207,4397 Main St,38.513701,,8933,Munoz,104406,64050,Missouri,712-53-8592,P747296039,Hispanic or Latino,4437
45,P00046,Mrs.,Jessica,Leah,Mcknight,F,2006-11-21,18,Divorced,MO,29772,3146751065,D6291672,Sr.,Greene,Hispanic,Columbia,-90.156594,181 Main St,36.013836,,4141,Mcknight,84176,65807,Missouri,927-86-3148,P795578654,Hispanic or Latino,4896
46,P00047,Mr.,Katelyn,Carla,Frederick,M,2002-02-17,22,Widowed,MO,29164,3140004354,D9217226,,Greene,Other,Columbia,-94.332403,3879 Main St,38.837036,,4659,,97811,65201,Missouri,611-28-6846,P270677904,Not Hispanic or Latino,14526
47,P00048,Mrs.,Sharon,John,Smith,F,1966-02-08,59,Single,MO,29782,3140403633,D8191787,,St. Louis,Black,Columbia,-93.557908,6890 Main St,36.35068,,16018,Smith,34706,63101,Missouri,749-34-1454,P422143076,Hispanic or Latino,11197
48,P00049,Mrs.,Joseph,Matthew,Hernandez,F,1994-03-03,30,Married,MO,29142,3147714318,D1274467,,Boone,Black,St. Louis,-90.132063,9284 Main St,37.328791,,14511,Hernandez,65196,64050,Missouri,921-67-3686,P168676438,Not Hispanic or Latino,4074
49,P00050,Mrs.,Matthew,David,Cobb,F,1953-02-26,71,Married,MO,29237,3147689305,D4156910,Sr.,Boone,Other,Columbia,-90.671207,1590 Main St,36.46464,,4491,Cobb,83409,65807,Missouri,556-14-4672,P784898315,Not Hispanic or Latino,11853
50,P00051,Mr.,Ashley,Phillip,Herring,M,1999-08-04,25,Divorced,MO,29012,3140999390,D9091382,,St. Charles,Hispanic,Independence,-91.090897,3318 Main St,38.215137,,9826,,91040,65201,Missouri,390-33-3316,P186485156,Hispanic or Latino,4452
51,P00052,Mr.,Miguel,Christina,Parker,M,2005-09-27,19,Widowed,MO,29529,3140747468,D2445932,,Greene,Asian,Springfield,-90.822326,9845 Main St,38.147081,,3577,,63817,65201,Missouri,213-44-6537,P449127706,Hispanic or Latino,1374
52,P00053,Mrs.,Veronica,David,Huff,F,1976-06-21,48,Married,MO,29038,3142654013,D8353328,,St. Louis,Black,Kansas City,-91.798205,5555 Main St,37.477732,,14873,Huff,71122,65807,Missouri,156-87-4501,P111665616,Hispanic or Latino,7654
53,P00054,Master,Andrew,Joseph,Beck,M,2012-03-25,12,Divorced,MO,29398,3140036590,D6380999,Sr.,Boone,Other,Springfield,-91.630467,2933 Main St,38.40295,,14956,,108724,63101,Missouri,148-20-5606,P715947453,Not Hispanic or Latino,4417
54,P00055,Mr.,Harold,James,Gomez,M,1955-03-22,69,Divorced,MO,29590,3140746407,D7450625,III,Jackson,Other,Columbia,-90.347682,8790 Main St,39.904439,,7784,,65325,65201,Missouri,415-32-2086,P736112838,Not Hispanic or Latino,10522
55,P00056,Master,Charlene,Debbie,Joyce,M,2024-03-01,10,Divorced,MO,29538,3144591545,D6658956,Sr.,Jackson,Black,Independence,-91.793445,368 Main St,38.2224,,10977,,63873,63101,Missouri,930-38-5485,P626341187,Not Hispanic or Latino,13390
56,P00057,Mrs.,Brandy,Kristen,Boyle,F,1982-03-03,42,Married,MO,29499,3144162854,D4862116,,Boone,White,Springfield,-93.834384,7899 Main St,37.59249,,16772,Boyle,29899,65807,Missouri,199-44-2860,P816787395,Not Hispanic or Latino,5519
57,P00058,Mrs.,Amanda,Daniel,Young,F,1968-03-10,56,Single,MO,29332,3144599313,D4829924,Sr.,Greene,Other,Springfield,-90.304051,206 Main St,36.209709,,11245,Young,76649,64106,Missouri,438-27-3230,P429743540,Not Hispanic or Latino,4171
58,P00059,Mrs.,Jessica,Dana,Flores,F,2005-04-03,19,Single,MO,29387,3149223498,D9964210,,Boone,Black,Independence,-94.585193,3235 Main St,39.079804,,14935,Flores,69203,63101,Missouri,291-42-4028,P580085419,Not Hispanic or Latino,3618
59,P00060,Mrs.,Sandra,Justin,Owen,F,1984-04-27,40,Single,MO,29881,3143558790,D5263782,Sr.,St. Louis,White,St. Louis,-93.159324,5795 Main St,36.164776,,15634,Owen,63773,65201,Missouri,225-31-5128,P908138806,Not Hispanic or Latino,6783
60,P00061,Mrs.,William,Robin,Smith,F,1988-06-20,36,Married,MO,29824,3140745067,D9588481,Jr.,Greene,Asian,St. Louis,-92.90019,2215 Main St,38.655023,,18937,Smith,38593,64050,Missouri,667-90-1025,P403413027,Not Hispanic or Latino,12492
61,P00062,Mrs.,Brian,Robert,Wiggins,F,1956-05-08,68,Widowed,MO,29120,3149568189,D5632337,III,Greene,Asian,Columbia,-94.580661,5953 Main St,39.266112,,14681,Wiggins,119395,63101,Missouri,162-70-4403,P606431719,Not Hispanic or Latino,8430
62,P00063,Master,William,Bryce,Williams,M,2022-08-15,10,Widowed,MO,29643,3147317594,D4334501,,Boone,White,Independence,-93.983411,8180 Main St,37.938927,,8897,,28156,65201,Missouri,103-56-1171,P326618962,Not Hispanic or Latino,7582
63,P00064,Mrs.,Emily,Jerome,Franklin,F,1960-06-16,64,Divorced,MO,29182,3147976192,D5938090,,St. Charles,Hispanic,Springfield,-92.03806,7891 Main St,39.78117,,18001,Franklin,64997,64106,Missouri,120-91-1912,P132156481,Not Hispanic or Latino,3663
64,P00065,Mrs.,Melinda,Shannon,Jones,F,2004-09-11,20,Single,MO,29544,3140013978,D5028936,,Greene,White,Columbia,-93.822093,8204 Main St,39.693938,,17029,Jones,101644,65807,Missouri,131-77-5421,P336140396,Not Hispanic or Latino,1651
65,P00066,Mr.,Amy,Jennifer,Young,M,1998-04-29,26,Single,MO,29389,3140386825,D5817304,Jr.,Boone,Asian,Kansas City,-94.415815,7815 Main St,39.468857,,4335,,21548,64050,Missouri,849-81-9791,P817438843,Not Hispanic or Latino,12691
66,P00067,Master,Lisa,Angel,West,M,2022-11-21,10,Divorced,MO,29418,3147147508,D2064386,Sr.,St. Charles,White,Kansas City,-91.956676,7205 Main St,39.682845,,17161,,32758,64106,Missouri,293-58-7249,P839165887,Not Hispanic or Latino,4368
67,P00068,Mrs.,Michael,Tracy,Johnson,F,1983-04-11,41,Divorced,MO,29481,3141520931,D6128134,Sr.,Boone,Hispanic,Independence,-92.322404,7620 Main St,39.027359,,19355,Johnson,102805,65807,Missouri,477-57-7079,P704965799,Hispanic or Latino,8728
68,P00069,Master,Kristin,Sarah,Matthews,M,2023-03-15,10,Married,MO,29172,3144344466,D6552458,III,St. Louis,Asian,Columbia,-94.057192,8715 Main St,38.932222,,6590,,20403,64050,Missouri,858-28-4706,P551966761,Hispanic or Latino,8800
69,P00070,Mrs.,Christian,Gary,Delgado,F,1959-10-02,65,Single,MO,29759,3144370040,D8022260,,Jackson,Hispanic,Kansas City,-91.75931,1224 Main St,38.533818,,10888,Delgado,90020,64106,Missouri,415-22-3326,P980453031,Not Hispanic or Latino,12563
70,P00071,Miss,Anna,Micheal,Martinez,F,2021-01-12,10,Married,MO,29106,3140547012,D9069155,,Jackson,Black,Kansas City,-94.561643,5236 Main St,38.955044,,16309,Martinez,81020,63101,Missouri,483-69-8212,P498554400,Not Hispanic or Latino,12086
71,P00072,Mrs.,Nancy,John,Graham,F,1972-04-18,52,Married,MO,29200,3146293437,D7120309,III,Jackson,Black,Independence,-92.525844,6535 Main St,39.124125,,10018,Graham,33720,63101,Missouri,170-61-1764,P837333375,Hispanic or Latino,5545
72,P00073,Miss,Donald,Susan,Anderson,F,2020-08-28,10,Married,MO,29494,3142836520,D5965627,Sr.,Greene,Asian,St. Louis,-91.943742,3045 Main St,36.743535,,12251,Anderson,68964,63101,Missouri,100-89-7054,P727825909,Not Hispanic or Latino,12767
73,P00074,Miss,Antonio,Michael,Hahn,F,2021-05-04,10,Single,MO,29891,3146445331,D6916677,,Jackson,Black,Columbia,-90.328253,9542 Main St,38.690395,,6759,Hahn,70778,64106,Missouri,725-60-3559,P692778574,Hispanic or Latino,8384
74,P00075,Mrs.,Jesus,Tammy,Ellis,F,1970-02-16,55,Widowed,MO,29168,3149340481,D2177484,Jr.,Jackson,Hispanic,Kansas City,-91.549817,2262 Main St,37.386604,,11261,Ellis,35248,63101,Missouri,322-56-6797,P458008497,Hispanic or Latino,6178
75,P00076,Miss,Charles,April,James,F,2020-04-12,10,Widowed,MO,29464,3147781204,D2126327,Sr.,St. Charles,Other,St. Louis,-93.29626,6265 Main St,36.984432,,7553,James,38908,64050,Missouri,439-27-1814,P465074550,Hispanic or Latino,4483
76,P00077,Mr.,Scott,Scott,Reyes,M,1977-08-14,47,Married,MO,29245,3141418540,D8496932,III,Greene,Other,Kansas City,-92.258866,5342 Main St,39.24863,,13786,,79640,65201,Missouri,546-84-8354,P884714960,Hispanic or Latino,2376
77,P00078,Mrs.,Anthony,Jasmine,Bates,F,1967-03-16,57,Widowed,MO,29828,3149969560,D8627901,,Greene,Other,St. Louis,-90.413099,5946 Main St,37.826782,,8272,Bates,69164,64106,Missouri,481-66-9621,P641640992,Not Hispanic or Latino,13249
78,P00079,Mrs.,Kevin,John,Daniel,F,1991-09-25,33,Widowed,MO,29742,3142263828,D4555079,III,St. Louis,White,Springfield,-92.838095,3714 Main St,37.680566,,16798,Daniel,39225,64050,Missouri,983-41-4831,P414206406,Not Hispanic or Latino,12888
79,P00080,Miss,Francisco,Robert,Khan,F,2017-01-09,10,Single,MO,29295,3148469715,D1120806,Sr.,St. Charles,Other,Springfield,-91.870798,7399 Main St,37.62058,,13383,Khan,89598,64050,Missouri,640-71-2732,P726455776,Not Hispanic or Latino,5376
80,P00081,Mrs.,Shannon,Jeffrey,Jones,F,2005-11-14,19,Divorced,MO,29348,3141971943,D8516057,Sr.,Jackson,Black,Columbia,-90.432935,9015 Main St,37.814547,,4406,Jones,40632,64050,Missouri,936-57-2320,P494200655,Hispanic or Latino,7722
81,P00082,Mr.,Joshua,Russell,Bradford,M,1984-05-04,40,Married,MO,29102,3144012841,D9320832,,St. Charles,Black,Kansas City,-90.361441,2409 Main St,39.182003,,12918,,97273,64106,Missouri,972-54-8840,P840112365,Hispanic or Latino,2932
82,P00083,Mr.,James,Cody,Williams,M,1988-04-21,36,Widowed,MO,29049,3143168730,D4723633,,Greene,White,Independence,-91.60406,5637 Main St,37.705636,,7370,,58516,63101,Missouri,184-22-8444,P560669054,Not Hispanic or Latino,8873
83,P00084,Mrs.,Patrick,Michael,Brown,F,1992-04-28,32,Single,MO,29126,3144455326,D1848545,Sr.,St. Charles,Other,Springfield,-92.295939,8571 Main St,37.401298,,15536,Brown,46356,63101,Missouri,373-87-2925,P399221755,Not Hispanic or Latino,12152
84,P00085,Mr.,Kyle,Bryan,Mercer,M,1978-03-24,46,Divorced,MO,29541,3144774752,D3618921,Sr.,Jackson,Hispanic,Columbia,-90.954858,9136 Main St,37.647832,,15662,,50524,63101,Missouri,564-66-6778,P511243694,Hispanic or Latino,7146
85,P00086,Mrs.,Jennifer,Pamela,Lambert,F,1973-05-03,51,Divorced,MO,29338,3142791958,D7560370,Sr.,St. Charles,Hispanic,St. Louis,-93.167889,3931 Main St,38.272426,,5808,Lambert,109650,64050,Missouri,571-39-7372,P405611221,Not Hispanic or Latino,11594
86,P00087,Mr.,Michelle,Brittany,Foster,M,1995-05-16,29,Married,MO,29184,3140508824,D6986912,,Jackson,White,Springfield,-93.213927,6844 Main St,39.155142,,4669,,96570,64106,Missouri,664-54-6214,P106068395,Hispanic or Latino,10496
87,P00088,Mrs.,Brittney,Autumn,Watson,F,1978-12-08,46,Married,MO,29568,3145664271,D7842012,,Jackson,Black,Independence,-91.410402,3063 Main St,37.272776,,3007,Watson,98838,65807,Missouri,708-99-2966,P471558151,Not Hispanic or Latino,11922
88,P00089,Mr.,Deborah,Sandra,Jennings,M,1991-05-06,33,Single,MO,29532,3142520819,D8058215,Jr.,Boone,Black,Springfield,-92.21809,7697 Main St,39.938153,,5130,,119072,64050,Missouri,155-39-1477,P243727259,Hispanic or Latino,10396
89,P00090,Mrs.,Richard,Jennifer,Gutierrez,F,1930-01-23,95,Widowed,MO,29497,3142907006,D1755385,,St. Charles,White,Springfield,-90.701748,553 Main St,39.09397,,12535,Gutierrez,34900,64106,Missouri,501-96-5812,P858370785,Hispanic or Latino,10854
90,P00091,Mr.,Pamela,Diane,Ellison,M,1950-11-24,74,Single,MO,29747,3145527542,D2301855,Sr.,Boone,White,St. Louis,-93.211001,179 Main St,36.501461,,10839,,52970,64106,Missouri,661-92-7697,P351695624,Hispanic or Latino,10960
91,P00092,Miss,Melissa,Kristin,Thomas,F,2009-05-05,15,Widowed,MO,29677,3142430272,D2114250,,St. Louis,Other,Springfield,-90.522404,1207 Main St,36.178553,,17961,Thomas,29467,63101,Missouri,852-70-8562,P260843897,Hispanic or Latino,9480
92,P00093,Mrs.,Todd,Robert,King,F,2005-12-04,19,Divorced,MO,29542,3141200565,D2741364,,Boone,Asian,Independence,-91.912043,4204 Main St,36.766913,,5964,King,78856,64050,Missouri,111-17-8438,P510950472,Not Hispanic or Latino,10676
93,P00094,Mrs.,Tammy,Michael,Joseph,F,1964-09-05,60,Single,MO,29220,3147828638,D5710346,III,St. Louis,Asian,Springfield,-91.353312,5048 Main St,37.798491,,19819,Joseph,81913,65201,Missouri,675-42-9125,P618119734,Hispanic or Latino,3278
94,P00095,Mrs.,Dillon,Veronica,Lawrence,F,1993-01-12,32,Divorced,MO,29239,3140101347,D3105475,Jr.,Boone,Asian,Columbia,-93.803555,1229 Main St,39.197896,,18477,Lawrence,88365,64050,Missouri,809-73-5732,P270490297,Hispanic or Latino,9168
95,P00096,Mr.,Rhonda,Amber,Parker,M,1966-09-09,58,Married,MO,29432,3145039571,D2705268,III,St. Charles,Hispanic,St. Louis,-91.327558,8796 Main St,37.09373,,14134,,33925,65201,Missouri,601-21-5246,P616367847,Not Hispanic or Latino,3624
96,P00097,Mrs.,Paula,Lori,Elliott,F,1964-10-26,60,Married,MO,29559,3145238391,D2268421,III,Boone,White,Springfield,-91.464079,4917 Main St,36.406123,,11723,Elliott,89868,63101,Missouri,827-39-4263,P111818106,Not Hispanic or Latino,1478
97,P00098,Mrs.,Paula,Jessica,Anderson,F,1969-02-09,56,Married,MO,29682,3142079368,D6611404,Sr.,Boone,Black,Springfield,-93.697977,873 Main St,37.471194,,9910,Anderson,89775,65201,Missouri,962-33-9885,P292273980,Hispanic or Latino,3551
98,P00099,Mrs.,Kevin,Carla,Marks,F,1966-03-15,58,Widowed,MO,29718,3147718240,D1747541,,St. Louis,Black,Kansas City,-91.486396,2494 Main St,36.059961,,18489,Marks,98552,63101,Missouri,602-24-2056,P667676943,Hispanic or Latino,11849
99,P00100,Miss,Alyssa,Howard,Lopez,F,2016-09-29,10,Married,MO,29938,3149700568,D9462478,III,St. Charles,White,St. Louis,-92.973309,8058 Main St,36.574631,,17215,Lopez,84752,65807,Missouri,562-74-7994,P282344612,Not Hispanic or Latino,9146
100,P00101,Master,Nathan,William,Perkins,M,2020-07-28,10,Single,MO,29916,3147513007,D9622243,III,Greene,Black,Springfield,-93.814311,4793 Main St,38.886782,,8386,,94624,64050,Missouri,961-22-2470,P493638867,Not Hispanic or Latino,3881
