Unnamed: 0,Patient_ID,PREFIX,FIRST,MIDDLE,LAST,GENDER,BIRTHDATE,AGE,MARITAL,STATE,FIPS,PHONE_NO,DRIVERS,SUFFIX,RACE,DEATHDATE,HEALTHCARE_EXPENSES,INCOME,BIRTHPLACE,SSN,PASSPORT,ETHNICITY,HEALTHCARE_COVERAGE,Doctor_ID,Address,Cause of Operation
10,P00011,Dr.,Kathryn,Leslie,Berg,F,01/06/1989,36,Divorced,MO,,8569429931,Yes,,African American,,14436,41093,Missouri,873-17-1253,P438100238,Black,2883,D00011,5561 COVINGTON MANOR LN SAINT LOUIS MO 63117-2967 USA,Epidural Anesthesia
11,P00012,Master,Angela,Melissa,Cook,F,07/03/1959,66,Single,MO,,8099017340,Yes,,Caucasian,,11844,78320,California,366-68-6546,P731521806,White,6102,D00023,6062 LAFAYETTE AVE SAINT LOUIS MO 63123-4699 USA,Pediatric Hernia Repair
12,P00013,Dr.,Samuel,Leslie,Cook,M,01/24/1975,50,Divorced,MO,,2875814930,No,Sr.,Caucasian,,17409,82194,Kansas,271-68-2216,P214889374,Asian,3067,D00041,1099 CHASE PARK LN SAINT LOUIS MO 63129-9353 USA,Epidural Anesthesia
13,P00014,Ms.,Sandra,Leslie,Perkins,F,08/21/1978,47,Divorced,MO,,9337967846,No,,Native American,,7695,99391,Illinois,941-39-7663,P898153884,Other,1864,D00010,6757 BROADWAY ST SAINT LOUIS MO 63141-9533 USA,Electroconvulsive Therapy (ECT)
14,P00015,Mrs.,John,Paul,Perkins,M,11/05/2003,22,Married,MO,,9286462495,No,,Caucasian,,9567,41049,Texas,110-59-8136,P567467092,Black,9365,D00009,4629 LAFAYETTE AVE SAINT LOUIS MO 63120-8177 USA,Electroconvulsive Therapy (ECT)
15,P00016,Dr.,Dawn,Rafael,Castro,F,12/13/2003,22,Widowed,MO,,5978192791,Yes,,Caucasian,,18739,59906,California,335-31-8837,P398911237,Hispanic or Latino,1360,D00002,6361 PESTALOZZI ST SAINT LOUIS MO 63130-2260 USA,Total Knee Replacement
16,P00017,Mr.,Benjamin,Justin,Brown,F,02/06/2000,25,Single,MO,,4837394825,Yes,Sr.,African American,,13827,91205,Missouri,216-48-4974,P638688392,Black,5729,D00050,2738 PESTALOZZI ST SAINT LOUIS MO 63101-6120 USA,Colonoscopy
17,P00018,Mrs.,Rebecca,Leslie,Berg,M,09/26/2002,23,Married,MO,,2119567659,No,Sr.,Asian,,11915,76301,Texas,945-39-8369,P116327712,Other,2575,D00019,8913 LINDENWOOD AVE SAINT LOUIS MO 63131-9559 USA,Electroconvulsive Therapy (ECT)
18,P00019,Mrs.,Samuel,Michael,Williams,F,10/13/1953,72,Divorced,MO,,5288414219,No,,Caucasian,,17925,40817,Kansas,550-97-2037,P867897887,Hispanic or Latino,8444,D00040,6852 COVINGTON MANOR LN SAINT LOUIS MO 63122-6849 USA,CT-guided biopsy
19,P00020,Ms.,John,Melissa,Castro,F,07/25/1999,26,Single,MO,,1534364528,Yes,,African American,,8056,37269,California,200-88-5372,P135043487,Hispanic or Latino,6864,D00042,5146 CARDINAL WAY APT 2501 SAINT LOUIS MO 63101-6779 USA,Epidural Anesthesia
20,P00021,Dr.,Benjamin,Paul,Castro,M,09/02/1977,48,Married,MO,,3313979506,No,Jr.,Asian,,12545,69401,Kansas,638-10-7071,P374916854,Other,340,D00012,353 LAFAYETTE AVE SAINT LOUIS MO 63116-8010 USA,Excision of Skin Cancer
21,P00022,Mrs.,Kathryn,Stephanie,Perkins,M,09/08/1998,27,Married,MO,,3466420093,No,III,Asian,,9844,55147,Illinois,422-84-7501,P560639834,Other,6228,D00008,1301 BROADWAY ST SAINT LOUIS MO 63119-7286 USA,Pediatric Hernia Repair
22,P00023,Dr.,Scott,Lynn,Davis,F,09/08/1966,59,Divorced,MO,,5066206682,Yes,Jr.,Native American,,6813,38677,Illinois,344-76-5591,P174388564,Asian,8501,D00026,1204 HICKORY RD SAINT LOUIS MO 63137-6561 USA,Total Knee Replacement
23,P00024,Master,Sandra,Leslie,Williams,M,02/26/1986,39,Widowed,MO,,8498748764,No,III,Asian,,8254,61623,Missouri,142-55-9163,P306587050,Hispanic or Latino,5014,D00049,3954 CATALAN ST SAINT LOUIS MO 63108-2091 USA,Coronary Artery Bypass Grafting (CABG)
24,P00025,Mrs.,Benjamin,Michael,Hopkins,F,12/19/1955,70,Divorced,MO,,4611649283,Yes,Sr.,Asian,,15621,39876,Texas,959-89-4956,P264376115,Other,9732,D00003,9823 CHASE PARK LN SAINT LOUIS MO 63141-7597 USA,Pediatric Hernia Repair
25,P00026,Mrs.,Dawn,Melissa,Wright,F,06/08/1962,63,Widowed,MO,,1908678720,Yes,Jr.,Caucasian,,10977,90295,Missouri,146-42-5701,P123490401,White,2018,D00007,3041 LINDENWOOD AVE SAINT LOUIS MO 63111-2849 USA,Coronary Artery Bypass Grafting (CABG)
26,P00027,Mrs.,Sandra,Julian,Williams,F,08/23/1995,30,Single,MO,,6628686313,No,III,Caucasian,,13672,70241,Missouri,121-59-1870,P493402660,Hispanic or Latino,1906,D00011,5215 CARDINAL WAY APT 2501 SAINT LOUIS MO 63111-4097 USA,Epidural Anesthesia
27,P00028,Dr.,Rebecca,Julian,Wright,M,03/24/1966,59,Widowed,MO,,4335154287,Yes,Jr.,Hispanic,,10014,40709,Missouri,857-43-5455,P471391565,Black,3360,D00015,3127 COVINGTON MANOR LN SAINT LOUIS MO 63103-1416 USA,Total Knee Replacement
28,P00029,Ms.,Rebecca,Stephanie,Davis,M,11/21/1956,69,Widowed,MO,,9217820695,No,,Hispanic,,9952,99008,Texas,483-52-6860,P636049678,White,1646,D00049,1467 HICKORY RD SAINT LOUIS MO 63105-1264 USA,Coronary Artery Bypass Grafting (CABG)
29,P00030,Mr.,Sandra,Melissa,Castro,F,10/16/1979,46,Widowed,MO,,5965646207,No,Jr.,Hispanic,,15362,41967,California,515-24-2168,P513087477,Other,1198,D00001,70 PINE ST SAINT LOUIS MO 63104-3378 USA,CT-guided biopsy
30,P00031,Dr.,John,Melissa,Berg,F,10/08/1995,30,Divorced,MO,,2986176897,No,,Asian,,6192,49026,Kansas,425-71-7915,P369000191,Other,253,D00042,2527 TORLINA DR SAINT LOUIS MO 63133-4702 USA,Epidural Anesthesia
31,P00032,Master,Jennifer,Lynn,Perkins,F,02/11/1993,32,Widowed,MO,,2665440843,Yes,III,Asian,,9310,95628,California,856-67-4179,P562873087,Black,8148,D00001,7640 BROADWAY ST SAINT LOUIS MO 63119-2070 USA,CT-guided biopsy
32,P00033,Ms.,Angela,Leslie,Wright,F,03/25/1960,65,Divorced,MO,,3688134317,No,,Asian,,6329,68797,California,739-97-3825,P499840926,Black,3825,D00001,927 PINE ST SAINT LOUIS MO 63138-1543 USA,CT-guided biopsy
33,P00034,Mrs.,Rebecca,Rafael,Rodriguez,M,06/22/2003,22,Single,MO,,5306897718,No,,Hispanic,,6153,90451,Texas,842-60-6134,P334273732,Other,3762,D00006,9719 LAFAYETTE AVE SAINT LOUIS MO 63106-8607 USA,CT-guided biopsy
34,P00035,Ms.,Benjamin,Michael,Castro,M,03/28/1984,41,Widowed,MO,,7010132029,Yes,Jr.,African American,,9528,44811,Illinois,835-28-1394,P778767555,White,9890,D00039,4270 PINE ST SAINT LOUIS MO 63127-4058 USA,Coronary Artery Bypass Grafting (CABG)
35,P00036,Master,Dawn,Brendan,Wright,F,02/05/1997,28,Single,MO,,4334623582,Yes,Sr.,Caucasian,,11822,84038,Texas,697-94-6822,P175333628,Other,1965,D00046,7683 COVINGTON MANOR LN SAINT LOUIS MO 63129-1781 USA,Electroconvulsive Therapy (ECT)
36,P00037,Mr.,Scott,Stephanie,Berg,M,09/28/1951,74,Divorced,MO,,2436089922,No,III,African American,,15994,71227,Texas,482-81-5428,P266606098,Black,4451,D00037,6944 COVINGTON MANOR LN SAINT LOUIS MO 63139-6378 USA,Deep Brain Stimulation (DBS)
37,P00038,Dr.,Benjamin,Stephanie,Williams,F,05/23/1959,66,Divorced,MO,,9606895400,No,III,Asian,,17052,97894,Missouri,310-37-5353,P255096996,White,784,D00017,3638 HICKORY RD SAINT LOUIS MO 63105-6597 USA,Colonoscopy
38,P00039,Ms.,Dawn,Julian,Perkins,F,09/09/1961,64,Married,MO,,1467527932,No,III,Hispanic,,13645,62463,California,495-89-3837,P717457195,Other,8363,D00003,8584 MAPLE LN SAINT LOUIS MO 63135-2944 USA,Pediatric Hernia Repair
39,P00040,Mr.,Jennifer,Justin,Brown,F,01/06/2000,25,Married,MO,,3434386739,Yes,Jr.,African American,,14982,75943,Illinois,388-45-1797,P151822919,White,5375,D00002,6406 LINDENWOOD AVE SAINT LOUIS MO 63132-9335 USA,Total Knee Replacement
40,P00041,Dr.,Benjamin,Rafael,Castro,M,01/10/1972,53,Divorced,MO,,8315699043,No,,Asian,,11970,89466,Missouri,985-16-5517,P384465469,Other,751,D00033,4300 ARMINDA AVE SAINT LOUIS MO 63127-4302 USA,Coronary Artery Bypass Grafting (CABG)
41,P00042,Mr.,Jennifer,Melissa,Williams,M,01/09/1967,58,Single,MO,,4833887566,No,III,Hispanic,,18950,64440,Missouri,861-85-1201,P334903528,White,9435,D00026,7588 LINDENWOOD AVE SAINT LOUIS MO 63108-6661 USA,Total Knee Replacement
42,P00043,Ms.,Scott,Brendan,Rodriguez,F,09/15/1989,36,Single,MO,,3649053354,No,III,Asian,,18939,43277,Texas,651-64-1190,P882610347,Hispanic or Latino,2605,D00004,4485 CHASE PARK LN SAINT LOUIS MO 63125-3314 USA,CT-guided biopsy
43,P00044,Mr.,Scott,Leslie,Berg,F,02/14/1973,52,Single,MO,,1902358005,No,Sr.,Native American,,7860,92746,California,859-14-8074,P941839602,White,7906,D00005,6407 MAPLE LN SAINT LOUIS MO 63107-8776 USA,Epidural Anesthesia
44,P00045,Mr.,Benjamin,Paul,Berg,F,12/04/1979,46,Widowed,MO,,6261263818,No,Sr.,African American,,12562,81412,Illinois,828-78-7633,P898527058,Hispanic or Latino,251,D00008,6150 ARMINDA AVE SAINT LOUIS MO 63137-3752 USA,Pediatric Hernia Repair
45,P00046,Ms.,Benjamin,Rafael,Davis,M,08/20/1974,51,Divorced,MO,,6042460023,Yes,III,African American,,18348,75971,Texas,625-46-2262,P302012987,Asian,5832,D00001,649 BROADWAY ST SAINT LOUIS MO 63139-3491 USA,CT-guided biopsy
46,P00047,Master,Dawn,Lynn,Wright,F,01/03/1995,30,Married,MO,,9936013778,Yes,,Asian,,19710,49479,Illinois,925-14-4649,P685588959,Asian,9557,D00042,5416 HICKORY RD SAINT LOUIS MO 63120-6061 USA,Epidural Anesthesia
47,P00048,Mrs.,Kathryn,Leslie,Davis,M,01/18/1971,54,Divorced,MO,,5650027421,Yes,Jr.,Native American,,5195,78168,Missouri,283-41-7106,P405049417,White,1092,D00049,8095 PESTALOZZI ST SAINT LOUIS MO 63126-2211 USA,Coronary Artery Bypass Grafting (CABG)
48,P00049,Mrs.,Scott,Leslie,Hopkins,M,06/11/1996,29,Divorced,MO,,3949349486,No,Sr.,Hispanic,,16122,68224,Texas,223-89-5700,P602865277,Hispanic or Latino,4125,D00022,4939 CARDINAL WAY APT 2501 SAINT LOUIS MO 63111-2505 USA,Deep Brain Stimulation (DBS)
49,P00050,Mr.,Sandra,Michael,Wright,F,10/16/1973,52,Divorced,MO,,1635189860,Yes,Sr.,African American,,19866,42194,Texas,621-86-7186,P288148611,Asian,1296,D00045,6463 HICKORY RD SAINT LOUIS MO 63107-4768 USA,Appendectomy
50,P00051,Mr.,John,Michael,Davis,M,02/06/1992,33,Married,MO,,8703249056,No,III,Caucasian,,18246,49245,Illinois,150-10-5311,P754057280,Black,9198,D00018,3742 PESTALOZZI ST SAINT LOUIS MO 63135-9247 USA,Epidural Anesthesia
51,P00052,Mr.,Angela,Rafael,Rodriguez,F,03/01/1951,74,Divorced,MO,,2205601918,Yes,Jr.,Native American,,15689,67823,Illinois,103-71-2623,P574314977,Black,1833,D00022,9956 BROADWAY ST SAINT LOUIS MO 63113-7566 USA,Deep Brain Stimulation (DBS)
52,P00053,Ms.,Rebecca,Melissa,Castro,F,04/05/1960,65,Divorced,MO,,4335425956,Yes,Jr.,Caucasian,,17626,75871,Texas,160-81-7545,P329755323,Asian,7856,D00019,4525 TORLINA DR SAINT LOUIS MO 63122-5430 USA,Electroconvulsive Therapy (ECT)
53,P00054,Dr.,Benjamin,Stephanie,Cook,F,03/25/1952,73,Divorced,MO,,8795571252,Yes,,Caucasian,,18355,48885,Illinois,501-40-5873,P279564385,Black,3279,D00047,6246 BROADWAY ST SAINT LOUIS MO 63113-9703 USA,Deep Brain Stimulation (DBS)
54,P00055,Mrs.,Dawn,Justin,Wright,F,07/13/1968,57,Divorced,MO,,5438931128,No,Sr.,Asian,,10297,80350,Illinois,388-90-3425,P689853101,Black,4315,D00006,8402 BROADWAY ST SAINT LOUIS MO 63139-2761 USA,CT-guided biopsy
55,P00056,Dr.,Samuel,Stephanie,Davis,M,12/24/2000,25,Single,MO,,6636501293,No,Sr.,Hispanic,,10651,74983,Texas,238-28-5033,P605429182,White,6479,D00008,8680 COVINGTON MANOR LN SAINT LOUIS MO 63122-9761 USA,Pediatric Hernia Repair
56,P00057,Mrs.,Rebecca,Brendan,Williams,F,03/25/1973,52,Married,MO,,8927912418,Yes,III,Hispanic,,19152,69447,Kansas,234-86-4378,P443437832,Other,4217,D00036,3737 PESTALOZZI ST SAINT LOUIS MO 63125-7714 USA,Excision of Skin Cancer
57,P00058,Dr.,Angela,Rafael,Davis,M,07/05/1981,44,Widowed,MO,,9112525897,No,III,Hispanic,,5032,95761,Kansas,890-13-7319,P615977550,Hispanic or Latino,7063,D00016,2366 CHASE PARK LN SAINT LOUIS MO 63140-9836 USA,Total Knee Replacement
58,P00059,Mrs.,Kathryn,Leslie,Hopkins,F,07/26/1955,70,Married,MO,,6983760511,Yes,III,Asian,,13678,58811,Missouri,279-37-3000,P139103757,Other,3062,D00031,4078 TORLINA DR SAINT LOUIS MO 63108-4934 USA,Pediatric Hernia Repair
59,P00060,Mrs.,Sandra,Justin,Berg,M,10/08/1966,59,Divorced,MO,,8529160039,No,Sr.,Native American,,8649,97549,California,542-30-4117,P992726270,Other,5792,D00035,1405 LAFAYETTE AVE SAINT LOUIS MO 63115-9120 USA,Electroconvulsive Therapy (ECT)
60,P00061,Ms.,Rebecca,Brendan,Castro,M,12/22/1974,51,Single,MO,,4456274822,No,III,African American,,13206,72683,California,796-47-6051,P411311418,White,6205,D00019,6317 TORLINA DR SAINT LOUIS MO 63105-1384 USA,Electroconvulsive Therapy (ECT)
61,P00062,Ms.,Jennifer,Paul,Rodriguez,M,02/08/1967,58,Divorced,MO,,9597424279,Yes,Sr.,Asian,,11556,58864,Illinois,229-42-1939,P101371252,Other,6754,D00041,87 PESTALOZZI ST SAINT LOUIS MO 63101-5834 USA,Epidural Anesthesia
62,P00063,Dr.,Scott,Lynn,Berg,M,05/23/1954,71,Divorced,MO,,1614889815,Yes,Sr.,Asian,,10091,86520,Kansas,138-82-3211,P336221582,Asian,2321,D00049,8816 TORLINA DR SAINT LOUIS MO 63137-5452 USA,Coronary Artery Bypass Grafting (CABG)
63,P00064,Mrs.,Kathryn,Julian,Perkins,F,09/03/1994,31,Single,MO,,9428732112,No,Jr.,African American,,8002,81212,Missouri,249-45-5810,P263677559,Black,546,D00012,1520 PESTALOZZI ST SAINT LOUIS MO 63125-7243 USA,Excision of Skin Cancer
64,P00065,Ms.,John,Brendan,Williams,F,07/08/2000,25,Divorced,MO,,3025305209,Yes,,African American,,18559,91500,Illinois,170-93-4273,P918120469,Asian,4022,D00014,6599 LAFAYETTE AVE SAINT LOUIS MO 63104-5588 USA,Colonoscopy
65,P00066,Mrs.,Sandra,Julian,Castro,M,05/20/1977,48,Widowed,MO,,2713237933,Yes,III,African American,,14457,41854,Kansas,284-24-6772,P103343728,Other,4261,D00001,303 CHASE PARK LN SAINT LOUIS MO 63113-2674 USA,CT-guided biopsy
66,P00067,Mrs.,Angela,Julian,Cook,F,03/06/1957,68,Divorced,MO,,6896658038,No,Sr.,African American,,18195,43245,Texas,894-96-1163,P920608092,White,2589,D00048,2553 ARMINDA AVE SAINT LOUIS MO 63110-8296 USA,Colonoscopy
67,P00068,Dr.,Jennifer,Stephanie,Cook,M,08/22/1954,71,Single,MO,,9536795123,No,,Hispanic,,10622,74018,Kansas,396-65-5756,P806341489,White,9031,D00001,7598 PINE ST SAINT LOUIS MO 63123-4247 USA,CT-guided biopsy
68,P00069,Ms.,Scott,Paul,Cook,M,01/24/1965,60,Widowed,MO,,6330993349,Yes,III,Asian,,12022,53572,California,518-75-1135,P830216602,Black,1008,D00005,2477 CATALAN ST SAINT LOUIS MO 63107-7510 USA,Epidural Anesthesia
69,P00070,Master,Sandra,Julian,Cook,M,10/15/1973,52,Married,MO,,6218387150,No,,Native American,,19095,58044,Illinois,377-84-4210,P695228068,Asian,1369,D00032,6671 PINE ST SAINT LOUIS MO 63112-6758 USA,Coronary Artery Bypass Grafting (CABG)
70,P00071,Mrs.,Angela,Justin,Cook,F,04/08/1964,61,Single,MO,,8805141610,No,Sr.,Hispanic,,8275,53974,Kansas,964-61-5098,P748072528,Asian,2821,D00042,9623 TORLINA DR SAINT LOUIS MO 63122-1857 USA,Epidural Anesthesia
71,P00072,Ms.,Benjamin,Rafael,Davis,F,04/24/1977,48,Divorced,MO,,3154094360,No,Jr.,African American,,13343,78706,California,719-54-6147,P942828110,Other,6461,D00006,5324 BROADWAY ST SAINT LOUIS MO 63131-4172 USA,CT-guided biopsy
72,P00073,Ms.,Samuel,Melissa,Wright,M,11/09/1970,55,Single,MO,,2395625562,Yes,III,Caucasian,,18294,82800,Missouri,803-76-8310,P993229852,White,393,D00040,8301 LINDENWOOD AVE SAINT LOUIS MO 63138-2408 USA,CT-guided biopsy
73,P00074,Mrs.,Scott,Lynn,Perkins,M,08/06/1952,73,Divorced,MO,,1123969928,Yes,III,African American,,13188,53255,Texas,988-80-9695,P952419844,Black,3975,D00037,5946 HICKORY RD SAINT LOUIS MO 63118-1122 USA,Deep Brain Stimulation (DBS)
74,P00075,Mrs.,Jennifer,Leslie,Castro,F,12/09/1956,69,Widowed,MO,,6316744028,Yes,,African American,,14512,88013,Texas,954-14-4237,P561711177,Black,5927,D00001,471 COVINGTON MANOR LN SAINT LOUIS MO 63102-4052 USA,CT-guided biopsy
75,P00076,Mr.,Kathryn,Michael,Wright,F,09/25/1991,34,Married,MO,,2197827584,No,Sr.,Hispanic,,14261,63917,Missouri,674-50-3020,P399084546,Other,8281,D00048,5369 PINE ST SAINT LOUIS MO 63117-4746 USA,Colonoscopy
76,P00077,Ms.,Benjamin,Melissa,Cook,M,10/04/1987,38,Single,MO,,4858611518,Yes,,Hispanic,,11356,80164,Texas,806-13-5211,P348530948,White,7546,D00050,9954 LINDENWOOD AVE SAINT LOUIS MO 63118-9640 USA,Colonoscopy
77,P00078,Mrs.,Samuel,Paul,Williams,M,04/07/1966,59,Single,MO,,1760410048,Yes,Jr.,Hispanic,,17094,88683,Texas,932-81-9128,P364798588,Other,1398,D00001,5279 TORLINA DR SAINT LOUIS MO 63111-7995 USA,CT-guided biopsy
78,P00079,Master,Jennifer,Julian,Perkins,M,10/08/1974,51,Married,MO,,6834344319,Yes,Jr.,Hispanic,,14661,43538,California,295-84-4173,P705806981,Other,8657,D00017,3548 PESTALOZZI ST SAINT LOUIS MO 63109-7576 USA,Colonoscopy
79,P00080,Master,Kathryn,Melissa,Hopkins,M,01/26/1963,62,Married,MO,,6603857316,No,Jr.,African American,,13299,38922,Illinois,217-64-9506,P465110277,Other,2145,D00005,4212 LAFAYETTE AVE SAINT LOUIS MO 63126-9895 USA,Epidural Anesthesia
80,P00081,Mr.,Dawn,Paul,Wright,F,06/07/1959,66,Single,MO,,4371142573,Yes,Jr.,Asian,,5709,94948,Texas,785-55-9259,P634115431,Asian,1864,D00030,1763 LINDENWOOD AVE SAINT LOUIS MO 63139-9773 USA,Epidural Anesthesia
81,P00082,Dr.,Dawn,Stephanie,Cook,M,02/18/1978,47,Divorced,MO,,5402244970,Yes,Sr.,African American,,7068,68709,Illinois,730-13-6898,P523112420,White,8491,D00036,1806 ARMINDA AVE SAINT LOUIS MO 63112-7249 USA,Excision of Skin Cancer
82,P00083,Mrs.,Benjamin,Melissa,Davis,F,11/12/2001,24,Widowed,MO,,6220680162,No,,Hispanic,,5758,81186,California,213-87-5528,P100945685,Black,4621,D00008,3687 PESTALOZZI ST SAINT LOUIS MO 63127-9400 USA,Pediatric Hernia Repair
83,P00084,Mr.,Jennifer,Rafael,Perkins,M,12/10/1958,67,Single,MO,,9379140844,No,Sr.,African American,,9250,44109,Kansas,753-95-8530,P911780068,Black,1558,D00006,562 HICKORY RD SAINT LOUIS MO 63131-3545 USA,CT-guided biopsy
84,P00085,Dr.,Kathryn,Lynn,Cook,M,02/12/1977,48,Divorced,MO,,1166296435,No,III,Native American,,7489,31114,Illinois,558-20-2022,P641449081,White,5385,D00041,625 COVINGTON MANOR LN SAINT LOUIS MO 63126-9910 USA,Epidural Anesthesia
85,P00086,Mrs.,Samuel,Paul,Rodriguez,M,09/04/1970,55,Divorced,MO,,1465816189,Yes,III,African American,,15317,45606,Texas,891-60-8592,P177076225,White,1864,D00024,8675 HICKORY RD SAINT LOUIS MO 63131-2937 USA,Pediatric Hernia Repair
86,P00087,Dr.,Sandra,Paul,Rodriguez,F,12/11/2002,23,Divorced,MO,,2127518974,No,III,Native American,,8254,91698,California,679-34-2528,P110997694,Asian,7494,D00025,1194 ARMINDA AVE SAINT LOUIS MO 63115-9969 USA,CT-guided biopsy
87,P00088,Master,Dawn,Stephanie,Williams,F,02/16/1966,59,Divorced,MO,,4589482104,No,Jr.,African American,,12342,34066,Kansas,867-32-5845,P386255646,Asian,5828,D00045,9662 CARDINAL WAY APT 2501 SAINT LOUIS MO 63124-2166 USA,Appendectomy
88,P00089,Ms.,Samuel,Lynn,Brown,F,02/11/1991,34,Divorced,MO,,5851206450,Yes,III,African American,,9821,80692,Illinois,501-67-1470,P215729528,White,5068,D00012,3213 MAPLE LN SAINT LOUIS MO 63141-4334 USA,Excision of Skin Cancer
89,P00090,Mrs.,Scott,Julian,Perkins,M,01/03/1989,36,Single,MO,,6147319795,No,III,Hispanic,,10386,66667,Texas,487-77-6613,P305948210,Asian,7246,D00012,4766 PESTALOZZI ST SAINT LOUIS MO 63128-2712 USA,Excision of Skin Cancer
90,P00091,Master,Sandra,Julian,Rodriguez,M,10/04/1951,74,Married,MO,,7367726345,No,III,Asian,,7386,66332,Missouri,877-20-8914,P342876510,Other,2770,D00003,2 BROADWAY ST SAINT LOUIS MO 63131-7119 USA,Pediatric Hernia Repair
91,P00092,Mrs.,Rebecca,Rafael,Brown,M,03/22/2003,22,Married,MO,,4692113305,Yes,Jr.,Native American,,11463,61709,California,597-68-2797,P125880654,Hispanic or Latino,2848,D00024,5125 CARDINAL WAY APT 2501 SAINT LOUIS MO 63129-3867 USA,Pediatric Hernia Repair
92,P00093,Master,Sandra,Michael,Cook,M,07/11/1961,64,Married,MO,,1363174337,No,Sr.,Hispanic,,17452,96659,Illinois,177-19-8248,P478332791,Black,1306,D00035,2233 ARMINDA AVE SAINT LOUIS MO 63130-8504 USA,Electroconvulsive Therapy (ECT)
93,P00094,Ms.,Kathryn,Julian,Berg,M,12/25/1987,38,Divorced,MO,,2547214388,No,Sr.,African American,,10889,71901,Kansas,535-42-3592,P795985228,Hispanic or Latino,4196,D00017,310 HICKORY RD SAINT LOUIS MO 63121-6986 USA,Colonoscopy
94,P00095,Ms.,Rebecca,Melissa,Perkins,M,12/14/1997,28,Single,MO,,1176556076,No,Jr.,Native American,,7881,91606,Illinois,666-67-1985,P301284588,Black,917,D00010,3648 PINE ST SAINT LOUIS MO 63139-9620 USA,Electroconvulsive Therapy (ECT)
95,P00096,Master,Scott,Melissa,Rodriguez,F,02/09/1983,42,Single,MO,,4714592498,Yes,III,African American,,16193,81367,Kansas,283-68-8822,P219505770,Hispanic or Latino,8985,D00012,7341 PESTALOZZI ST SAINT LOUIS MO 63102-3282 USA,Excision of Skin Cancer
96,P00097,Ms.,Sandra,Justin,Berg,M,10/13/1961,64,Married,MO,,5717379812,Yes,III,Asian,,18078,95844,Illinois,745-85-9758,P824109631,Asian,22,D00042,8750 PESTALOZZI ST SAINT LOUIS MO 63115-8643 USA,Epidural Anesthesia
