Doctor_ID,First_Name,Middle_Name,Last_Name,Gender,Age,Specialty,Experience_Years,Contact_Email,Contact_Phone,Hospital,Location,Phone_Number,Address,Specialised in Operations
D00016,Maria,Antonio,Clarke,F,51,Orthopedics,23,maria.clarke@example.com,7860988816,SSM Health Hospital,"Saint Louis, Missouri, United States",3141075945,"5678 Elm St, Kansas City, MO 64106","Total Knee Replacement, Spinal Fusion Surgery"
D00017,Katrina,Katherine,Sullivan,M,40,Internal Medicine,25,katrina.sullivan@example.com,2615891161,SSM Health Hospital,"Saint Louis, Missouri, United States",3140323497,"7777 Cherry Blvd, Joplin, MO 64801","Colonoscopy, Angioplasty for Coronary Artery Disease"
D00018,Tracy,Christian,Fox,M,62,Anesthesiology,22,tracy.fox@example.com,6182109060,SSM Health Hospital,"Saint Louis, Missouri, United States",3142511760,"3333 Pine St, Independence, MO 64050","Epidural Anesthesia, General Anesthesia for Surgery"
D00019,Laurie,Brian,Pierce,M,51,Psychiatry,29,laurie.pierce@example.com,9129634914,SSM Health Hospital,"Saint Louis, Missouri, United States",3140371542,"5678 Elm St, Kansas City, MO 64106","Electroconvulsive Therapy (ECT), Psychopharmacological Intervention"
D00020,Michael,Elizabeth,Estes,F,42,Neurology,23,michael.estes@example.com,791981154,SSM Health Hospital,"Saint Louis, Missouri, United States",3147218144,"7777 Cherry Blvd, Joplin, MO 64801","Deep Brain Stimulation (DBS), Craniotomy for Brain Tumor Removal"
D00021,Jose,Daniel,Martin,F,58,Anesthesiology,34,jose.martin@example.com,3254321301,SSM Health Hospital,"Saint Louis, Missouri, United States",3146038197,"1234 Main St, St. Louis, MO 63101","Epidural Anesthesia, General Anesthesia for Surgery"
D00022,Melissa,Gerald,Johnson,F,51,Neurology,18,melissa.johnson@example.com,9600534925,SSM Health Hospital,"Saint Louis, Missouri, United States",3143224899,"5555 Birch Ln, St. Charles, MO 63301","Deep Brain Stimulation (DBS), Craniotomy for Brain Tumor Removal"
D00023,Hector,Jose,Vance,M,59,Pediatrics,24,hector.vance@example.com,4717364623,SSM Health Hospital,"Saint Louis, Missouri, United States",3140101140,"4444 Cedar Dr, Lee's Summit, MO 64063","Pediatric Hernia Repair, Tonsillectomy"
D00024,Isaiah,Keith,Rodriguez,F,56,Pediatrics,14,isaiah.rodriguez@example.com,1438555725,SSM Health Hospital,"Saint Louis, Missouri, United States",3146490067,"5555 Birch Ln, St. Charles, MO 63301","Pediatric Hernia Repair, Tonsillectomy"
D00025,Hector,David,Peterson,M,63,Radiology,21,hector.peterson@example.com,470852296,SSM Health Hospital,"Saint Louis, Missouri, United States",3141271337,"3333 Pine St, Independence, MO 64050","CT-guided biopsy, Angioplasty"
D00026,David,Joseph,Miller,M,53,Orthopedics,37,david.miller@example.com,8809075945,SSM Health Hospital,"Saint Louis, Missouri, United States",3144035016,"2222 Oak St, Columbia, MO 65201","Total Knee Replacement, Spinal Fusion Surgery"
D00027,Ashley,Adriana,Mcfarland,M,52,Cardiology,34,ashley.mcfarland@example.com,8785183993,SSM Health Hospital,"Saint Louis, Missouri, United States",3144816891,"4444 Cedar Dr, Lee's Summit, MO 64063","Coronary Artery Bypass Grafting (CABG), Pacemaker Implantation"
D00028,Robert,Jeremy,Bradley,F,39,Pediatrics,23,robert.bradley@example.com,4345050082,SSM Health Hospital,"Saint Louis, Missouri, United States",3145166506,"8888 Willow Way, Chesterfield, MO 63005","Pediatric Hernia Repair, Tonsillectomy"
D00029,Brent,Rebecca,Wright,F,37,General Surgery,23,brent.wright@example.com,5140973426,SSM Health Hospital,"Saint Louis, Missouri, United States",3141429103,"5678 Elm St, Kansas City, MO 64106","Appendectomy, Cholecystectomy"
D00030,Daniel,Stacie,Davis,F,51,Anesthesiology,32,daniel.davis@example.com,1134295024,SSM Health Hospital,"Saint Louis, Missouri, United States",3145131202,"2222 Oak St, Columbia, MO 65201","Epidural Anesthesia, General Anesthesia for Surgery"
D00031,Alexander,Ethan,Butler,M,58,Pediatrics,23,alexander.butler@example.com,1884555757,SSM Health Hospital,"Saint Louis, Missouri, United States",3146628787,"7777 Cherry Blvd, Joplin, MO 64801","Pediatric Hernia Repair, Tonsillectomy"
D00032,Raven,Sara,Dunn,F,60,Cardiology,33,raven.dunn@example.com,2051868871,SSM Health Hospital,"Saint Louis, Missouri, United States",3146987458,"5678 Elm St, Kansas City, MO 64106","Coronary Artery Bypass Grafting (CABG), Pacemaker Implantation"
D00033,Jeffery,Tanya,Donaldson,M,43,Cardiology,13,jeffery.donaldson@example.com,8411568344,SSM Health Hospital,"Saint Louis, Missouri, United States",3142280107,"7777 Cherry Blvd, Joplin, MO 64801","Coronary Artery Bypass Grafting (CABG), Pacemaker Implantation"
D00034,Jon,Andre,White,M,56,Radiology,11,jon.white@example.com,9569288141,SSM Health Hospital,"Saint Louis, Missouri, United States",3145056737,"1234 Main St, St. Louis, MO 63101","CT-guided biopsy, Angioplasty"
D00035,Erin,Mindy,Thompson,M,57,Psychiatry,9,erin.thompson@example.com,9025306343,SSM Health Hospital,"Saint Louis, Missouri, United States",3142090068,"4444 Cedar Dr, Lee's Summit, MO 64063","Electroconvulsive Therapy (ECT), Psychopharmacological Intervention"
D00036,Matthew,Edward,Silva,F,38,Dermatology,21,matthew.silva@example.com,5260085793,SSM Health Hospital,"Saint Louis, Missouri, United States",3141544628,"1234 Main St, St. Louis, MO 63101","Excision of Skin Cancer, Laser Skin Resurfacing"
D00037,Lisa,Gabrielle,Dougherty,M,39,Neurology,39,lisa.dougherty@example.com,4236848206,SSM Health Hospital,"Saint Louis, Missouri, United States",3143959998,"1234 Main St, St. Louis, MO 63101","Deep Brain Stimulation (DBS), Craniotomy for Brain Tumor Removal"
D00038,Eric,John,Morris,F,54,Dermatology,23,eric.morris@example.com,223880629,SSM Health Hospital,"Saint Louis, Missouri, United States",3146052342,"5555 Birch Ln, St. Charles, MO 63301","Excision of Skin Cancer, Laser Skin Resurfacing"
D00039,Desiree,Julie,Little,F,61,Cardiology,37,desiree.little@example.com,7358658334,SSM Health Hospital,"Saint Louis, Missouri, United States",3141220083,"3333 Pine St, Independence, MO 64050","Coronary Artery Bypass Grafting (CABG), Pacemaker Implantation"
D00040,Teresa,Dylan,Davis,M,38,Radiology,18,teresa.davis@example.com,4295054503,SSM Health Hospital,"Saint Louis, Missouri, United States",3147409709,"5555 Birch Ln, St. Charles, MO 63301","CT-guided biopsy, Angioplasty"
D00041,Felicia,Alan,Harris,M,58,Anesthesiology,38,felicia.harris@example.com,1537032844,SSM Health Hospital,"Saint Louis, Missouri, United States",3140276856,"5555 Birch Ln, St. Charles, MO 63301","Epidural Anesthesia, General Anesthesia for Surgery"
D00042,Alejandro,Brian,Pennington,M,58,Anesthesiology,38,alejandro.pennington@example.com,3547495480,SSM Health Hospital,"Saint Louis, Missouri, United States",3145791849,"6666 Walnut St, Florissant, MO 63031","Epidural Anesthesia, General Anesthesia for Surgery"
D00043,Seth,Lindsay,Nelson,F,58,Orthopedics,7,seth.nelson@example.com,3681952751,SSM Health Hospital,"Saint Louis, Missouri, United States",3148477493,"7777 Cherry Blvd, Joplin, MO 64801","Total Knee Replacement, Spinal Fusion Surgery"
D00044,Theresa,Daniel,Noble,M,57,Anesthesiology,16,theresa.noble@example.com,8928334494,SSM Health Hospital,"Saint Louis, Missouri, United States",3141865993,"9101 Maple Ave, Springfield, MO 65807","Epidural Anesthesia, General Anesthesia for Surgery"
D00045,Chris,Diana,Phillips,M,49,General Surgery,38,chris.phillips@example.com,7806374489,SSM Health Hospital,"Saint Louis, Missouri, United States",3149528637,"5678 Elm St, Kansas City, MO 64106","Appendectomy, Cholecystectomy"
D00046,Mark,Luke,Berry,M,49,Psychiatry,24,mark.berry@example.com,1278491082,SSM Health Hospital,"Saint Louis, Missouri, United States",3146600162,"8888 Willow Way, Chesterfield, MO 63005","Electroconvulsive Therapy (ECT), Psychopharmacological Intervention"
D00047,Chelsea,John,Huff,M,61,Neurology,27,chelsea.huff@example.com,6751910610,SSM Health Hospital,"Saint Louis, Missouri, United States",3145062691,"2222 Oak St, Columbia, MO 65201","Deep Brain Stimulation (DBS), Craniotomy for Brain Tumor Removal"
D00048,Brooke,Daniel,Grant,M,41,Internal Medicine,29,brooke.grant@example.com,356762152,SSM Health Hospital,"Saint Louis, Missouri, United States",3144880443,"7777 Cherry Blvd, Joplin, MO 64801","Colonoscopy, Angioplasty for Coronary Artery Disease"
D00049,Tracey,Frederick,Stone,M,42,Cardiology,13,tracey.stone@example.com,7017951375,SSM Health Hospital,"Saint Louis, Missouri, United States",3140511842,"4444 Cedar Dr, Lee's Summit, MO 64063","Coronary Artery Bypass Grafting (CABG), Pacemaker Implantation"
D00050,Mary,Holly,Graham,M,43,Internal Medicine,10,mary.graham@example.com,9575489863,SSM Health Hospital,"Saint Louis, Missouri, United States",3149119847,"8888 Willow Way, Chesterfield, MO 63005","Colonoscopy, Angioplasty for Coronary Artery Disease"
